title,inception,movement,genre,image_url
Triptych of the Virgin of Montserrat,1483-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Bartolom%C3%A9%20Bermejo%20-%20Retablo%20della%20vergine%20di%20Montserrat.jpg
Triptych of the Virgin of Montserrat,1483-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Bartolom%C3%A9%20Bermejo%20-%20Retablo%20della%20vergine%20di%20Montserrat.jpg
Portrait of Pope Gregory XIII,1585-01-01T00:00:00Z,Renaissance,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Lavinia%20Fontana%20-%20Portrait%20of%20Pope%20Gregory%20XIII.jpg
Calavera,1600-01-01T00:00:00Z,Renaissance,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20de%20Juanes%20-%20In%20omnibus%20operibus.jpg
Madonna with grapes,1583-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Virgen%20del%20racimo%20-%20CE2206P.jpg
Q66287947,1600-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Virgen%20del%20velo%20%28CE2454P%29%20-%20Anonymous%2C%20copy%20of%20Raffaello%20Sanzio.jpg
Our Lady of Piasek,1500-01-01T00:00:00Z,Renaissance,Hodegetria,http://commons.wikimedia.org/wiki/Special:FilePath/Krakow-kosciol%20Nawiedzenia%20NMP%20MB%20Piaskowa.jpg
Our Lady of Piasek,1500-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Krakow-kosciol%20Nawiedzenia%20NMP%20MB%20Piaskowa.jpg
Saint John the Baptist by Ercole de' Roberti,1480-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20der%20T%C3%A4ufer%20-%20Gem%C3%A4ldegalerie%20Berlin%20-%204280678.jpg
Portrait of Pope Julius III,1550-01-01T00:00:00Z,Renaissance,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Girolamo%20siciolante%20da%20sermoneta%2C%20ritratto%20di%20papa%20giulio%20III%2C%201550%20ca.%20%28gall.%20spada%29.jpg
Portrait of Pope Julius III,1600-01-01T00:00:00Z,Renaissance,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Girolamo%20siciolante%20da%20sermoneta%2C%20ritratto%20di%20papa%20giulio%20III%2C%201550%20ca.%20%28gall.%20spada%29.jpg
Q113636993,2000-01-01T00:00:00Z,Renaissance,religious art,http://commons.wikimedia.org/wiki/Special:FilePath/Virgen%20con%20el%20Ni%C3%B1o%20%28CE2458P%29%2C%20Museo%20de%20Bellas%20Artes%20de%20C%C3%B3rdoba.jpg
"Portrait of Pope Gregory XIII, bust-length",1600-01-01T00:00:00Z,Renaissance,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Pope%20Gregory%20XIII%2C%20bust-length%20%28by%20Scipione%20Pulzone%29.jpg
Mademoiselle Caroline Rivière,1806-01-01T00:00:00Z,neoclassicism,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Mademoiselle%20Caroline%20Rivi%C3%A8re%20-%20Jean-Auguste-Dominique%20Ingres%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20MI%201447.jpg
The Oath of the Horatii,1784-01-01T00:00:00Z,neoclassicism,history painting,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Louis%20David%2C%20Le%20Serment%20des%20Horaces.jpg
The Oath of the Horatii,1785-01-01T00:00:00Z,neoclassicism,history painting,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Louis%20David%2C%20Le%20Serment%20des%20Horaces.jpg
Portrait of Antoine-Laurent Lavoisier and his wife,1788-01-01T00:00:00Z,neoclassicism,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/David%20-%20Portrait%20of%20Monsieur%20Lavoisier%20and%20His%20Wife.jpg
The Death of Marat,1793-01-01T00:00:00Z,neoclassicism,history painting,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Louis%20David%20-%20Marat%20assassinated%20-%20Google%20Art%20Project%202.jpg
The Death of Marat,1793-10-01T00:00:00Z,neoclassicism,history painting,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Louis%20David%20-%20Marat%20assassinated%20-%20Google%20Art%20Project%202.jpg
Antiochus and Stratonice,1840-01-01T00:00:00Z,neoclassicism,history painting,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Auguste-Dominique%20Ingres%20-%20La%20maladie%20d%27Antiochus%2C%20ou%20Antiochus%20et%20Stratonice%20-%20Google%20Art%20Project.jpg
Mars Being Disarmed by Venus,1824-01-01T00:00:00Z,neoclassicism,nude,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Louis%20David%20-%20Mars%20desarme%20par%20Venus.JPG
Mars Being Disarmed by Venus,1824-01-01T00:00:00Z,neoclassicism,mythological painting,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Louis%20David%20-%20Mars%20desarme%20par%20Venus.JPG
Portrait of Lady Clan Henderson,1771-01-01T00:00:00Z,neoclassicism,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Angelika%20Kauffmann%20Anne%20Loudoun%20Lady%20Henderseon%20of%20Fordell%201771.jpg
Portrait of David Garrick,1764-01-01T00:00:00Z,neoclassicism,portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Kauffman-Garrick.jpg
Jupiter and Thetis,1811-01-01T00:00:00Z,neoclassicism,nude,http://commons.wikimedia.org/wiki/Special:FilePath/J%C3%BApiter%20y%20Tetis%2C%20por%20Dominique%20Ingres.jpg
Jupiter and Thetis,1811-01-01T00:00:00Z,neoclassicism,mythological painting,http://commons.wikimedia.org/wiki/Special:FilePath/J%C3%BApiter%20y%20Tetis%2C%20por%20Dominique%20Ingres.jpg
The Death of General Wolfe,1770-01-01T00:00:00Z,neoclassicism,history painting,http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20West%20005.jpg
